Score,MAE,inverse_relative_error_weights,latent_size,learning_rate,num_layers,num_processing_steps,separate_edge_output,skip_connection_encoder_decoder
-0.831867595658718,0.4072560667991638,False,256,0.001,3,8,True,False
-0.8119672599879586,0.42809823155403137,True,128,0.001,3,16,False,True
