Score,MAE,inverse_relative_error_weights,latent_size,learning_rate,num_layers,num_processing_steps,separate_edge_output,skip_connection_encoder_decoder
-0.30336206013596745,0.7305188179016113,True,256,0.001,4,16,True,True
-0.933298688404641,0.3910363018512726,True,256,0.001,3,8,False,True
-0.562619703044961,0.5302619934082031,False,256,0.001,4,8,True,True
-0.9396666425089968,0.37835463881492615,True,128,0.001,3,8,False,True
-0.22491044547115113,0.7840154767036438,True,256,0.001,4,16,False,True
-0.9722953944376566,0.3824411630630493,True,128,0.001,3,8,True,True
-0.40784754491395325,0.6397392749786377,False,256,0.001,4,16,False,True
-0.8654308265563424,0.4533149003982544,True,256,0.001,3,8,False,True
