Score,MAE,inverse_relative_error_weights,latent_size,learning_rate,num_layers,num_processing_steps
0.4535525690200966,5.972184181213379,True,64,0.0005,3,10
-0.101192218572844,2.0580992698669434,True,128,0.0005,3,5
-0.3130142760863073,0.7764058113098145,True,128,0.001,3,10
-0.3468109955061629,0.6631524562835693,False,128,0.001,2,10
-0.13306152691821035,0.9587813019752502,True,64,0.001,3,5
-0.07296154387943454,0.9795607924461365,True,64,0.001,2,10
-0.3455978059611916,0.768196702003479,True,128,0.001,2,10
-0.32324805306744786,0.7579304575920105,True,128,0.001,3,5
0.04922935487392033,1.0477988719940186,False,64,0.0005,2,10
-0.10621845237188025,1.0184311866760254,True,64,0.001,2,10
-0.08823407377642044,0.8569287657737732,False,64,0.001,2,10
-0.35916227851659543,0.6621379256248474,False,128,0.001,3,10
-0.3240599585635706,0.7317110896110535,False,128,0.0005,3,10
-0.020801698351211095,2.189879894256592,True,128,0.0005,3,5
0.07356229571271578,4.715944766998291,True,128,0.0005,2,10
-0.31726290436217675,0.739922285079956,False,128,0.0005,3,10
-0.015186210740871064,3.118870735168457,True,128,0.0005,3,5
-0.034479744188849026,1.0774989128112793,True,64,0.001,2,5
-0.3175641476184654,0.6638210415840149,False,128,0.001,2,10
-0.062012172817779765,0.9132445454597473,False,64,0.001,2,5
-0.285569475776701,0.7432717680931091,False,128,0.0005,2,10
