Score,MAE,inverse_relative_error_weights,latent_size,learning_rate,num_layers,num_processing_steps
0.5403047143369485,1.8230204582214355,False,64,0.001,4,20
0.5309463852147577,2.4670636653900146,True,64,0.0005,4,20
0.5885478521140779,1.7641183137893677,False,64,0.001,4,10
0.4901222073649691,1.5684148073196411,True,256,0.001,2,20
0.8470533462027544,4.205678462982178,True,64,0.0005,4,10
1.1949175009292363,4.786060810089111,False,16,0.001,4,10
1.442266023445638,10.679664611816406,True,16,0.0005,4,20
1.65303541537302,4.603271007537842,False,256,0.001,4,20
1.09770500978986,5.13208532333374,True,16,0.001,4,20
1.3256258177391131,10.782909393310547,True,16,0.0005,2,10
1.4988650587410433,11.346565246582031,False,16,0.0005,4,20
0.45180548079713234,1.5700703859329224,True,64,0.001,2,20
0.4270534506708549,1.5769031047821045,False,256,0.0005,4,10
0.6090312083546604,1.8266258239746094,False,64,0.001,4,20
0.9171296814560669,4.400861740112305,False,16,0.001,2,10
1.9927007599063429,15.110315322875977,False,16,0.0005,4,20
0.4896197105842934,1.6898038387298584,False,64,0.001,2,10
